item_name,item_category,item_price_AMBA,item_price_restoPBA,item_price_CCL,item_price_neaNOA,item_price_Patagonia
Desodorante Roll on Plusbelle Care x 50 ml,Perfumería,"$ 76,00","$ 76,00","$ 76,00","$ 76,00","$ 76,00"
Desodorante W Deo en aerosol AP antibacterial Rexona x 150 ml,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Dulce de batata Estuche Esnaola x 500 gr,Almacén,"$ 83,00","$ 83,00","$ 83,00","$ 83,00","$ 83,00"
Dulce de Leche Clásico La Armonía x 400 gr,Lácteos,"$ 91,00","$ 94,19","$ 96,01","$ 97,37","$ 98,28"
Dulce de Leche Tradicional Artesanal San Ignacio x 400 gr,Lácteos,"$ 91,00","$ 94,19","$ 96,01","$ 97,37","$ 98,28"
Dulce de membrillo Estuche Esnaola x 500 gr,Almacén,"$ 88,00","$ 88,00","$ 88,00","$ 88,00","$ 88,00"
Espinazo novillo Supermercado x 1 kg,Carnes y embutidos,"$ 65,00","$ 67,28","$ 68,58","$ 71,50","$ 71,50"
"Esponja Con fibra ""no raya"" Cuidado Azul Virulana x 1 un",Limpieza,"$ 41,50","$ 41,50","$ 41,50","$ 41,50","$ 41,50"
Esponja Con fibra Multiuso Virulana x 1 un,Limpieza,"$ 25,90","$ 25,90","$ 25,90","$ 25,90","$ 25,90"
Fajitas clásicas Tía Maruca x 150 gr,Almacén,"$ 55,00","$ 56,93","$ 58,03","$ 58,85","$ 59,40"
Fiambre de cerdo comercial Supermercado x 1 kg,Carnes y embutidos,"$ 219,00","$ 226,67","$ 231,05","$ 234,33","$ 234,33"
Fideos Codito Canale x 500 gr,Almacén,"$ 33,00","$ 34,16","$ 34,82","$ 35,31","$ 35,64"
Fideos Spaghetti Canale x 500 gr,Almacén,"$ 33,00","$ 34,16","$ 34,82","$ 35,31","$ 35,64"
Fideos Spaghetti Libre de Gluten Matarazzo x 500 gr,Almacén,"$ 108,00","$ 108,00","$ 108,00","$ 108,00","$ 108,00"
Fideos Tallarín Canale x 500 gr,Almacén,"$ 33,00","$ 34,16","$ 34,82","$ 35,31","$ 35,64"
Fideos Tirabuzón Canale x 500 gr,Almacén,"$ 33,00","$ 34,16","$ 34,82","$ 35,31","$ 35,64"
Fideos Tirabuzón Libre de Gluten Matarazzo x 500 gr,Almacén,"$ 108,00","$ 108,00","$ 108,00","$ 108,00","$ 108,00"
Flan Vainilla Ravana x 60 gr,Almacén,"$ 23,00","$ 23,00","$ 23,00","$ 23,00","$ 23,00"
Flan Vainilla Royal x 60 gr,Almacén,"$ 29,00","$ 29,00","$ 29,00","$ 29,00","$ 29,00"
Galleta Marinera clásica Tía Maruca x 350 gr,Almacén,"$ 86,00","$ 89,01","$ 90,73","$ 92,02","$ 92,88"
Galletitas de agua Pack x 3 Criollitas x 300 gr,Almacén,"$ 73,00","$ 73,00","$ 73,00","$ 73,00","$ 73,00"
Galletitas dulces Clásicas Lincoln x 153 gr,Almacén,"$ 52,00","$ 52,00","$ 52,00","$ 52,00","$ 52,00"
Galletitas dulces Clásicas Vocación x 170 gr,Almacén,"$ 27,50","$ 27,50","$ 27,50","$ 27,50","$ 27,50"
Galletitas dulces Rellenas Duquesa x 115 gr,Almacén,"$ 49,00","$ 49,00","$ 49,00","$ 49,00","$ 49,00"
Galletitas dulces Rellenas Rumba x 112 gr,Almacén,"$ 41,00","$ 41,00","$ 41,00","$ 41,00","$ 41,00"
Galletitas dulces surtidas Dale x 400 gr,Almacén,"$ 62,00","$ 64,17","$ 65,41","$ 66,34","$ 66,96"
Garbanzos Remojados Inalpa x 350 gr,Almacén,"$ 35,00","$ 35,00","$ 35,00","$ 35,00","$ 35,00"
"Gaseosa Cola Cunnington x 1,5 lt",Bebidas,"$ 53,00","$ 54,86","$ 55,92","$ 56,71","$ 57,24"
"Gaseosa Cola Cunnington x 2,25 lt",Bebidas,"$ 64,00","$ 66,24","$ 67,52","$ 68,48","$ 69,12"
"Gaseosa Cola original Coca Cola x 1,25 lt",Bebidas,"$ 82,00","$ 84,87",0,0,0
"Gaseosa Cola original Coca Cola x 1,5 lt",Bebidas,"$ 82,00","$ 84,87","$ 100,00","$ 100,00","$ 100,00"
"Gaseosa Cola sin azúcar Cunnington x 1,5 lt",Bebidas,"$ 53,00","$ 54,86","$ 55,92","$ 56,71","$ 57,24"
"Gaseosa Cola sin azúcar Cunnington x 2,25 lt",Bebidas,"$ 58,00","$ 60,03","$ 61,19","$ 62,06","$ 62,64"
"Gaseosa Lima limón light Cunnington x 2,25 lt",Bebidas,"$ 58,00","$ 60,03","$ 61,19","$ 62,06","$ 62,64"
"Gaseosa Naranja light Cunnington x 2,25 lt",Bebidas,"$ 58,00","$ 60,03","$ 61,19","$ 62,06","$ 62,64"
Gelatina Gelatina cereza Ravana x 50 gr,Almacén,"$ 34,00","$ 34,00","$ 34,00","$ 34,00","$ 34,00"
Harina de maíz LG Prestopronta x 750 gr,Almacén,"$ 81,00","$ 83,84","$ 85,46","$ 86,67","$ 87,48"
Harina de maíz Morixe x 500 gr,Almacén,"$ 32,00","$ 33,12","$ 33,76","$ 34,24","$ 34,56"
Harina de trigo 000 Morixe x 1 kg,Almacén,"$ 33,00","$ 34,16","$ 34,82","$ 35,31","$ 35,64"
Harina de trigo 0000 Morixe x 1 kg,Almacén,"$ 46,00","$ 47,61","$ 48,53","$ 49,22","$ 49,68"
Harina de trigo Leudante Morixe x 1 kg,Almacén,"$ 52,00","$ 53,82","$ 54,86","$ 55,64","$ 56,16"
Huevos blancos Supermercado x 6 un,Lácteos,"$ 59,00","$ 61,07","$ 62,25","$ 63,13","$ 63,13"
Insecticida Mata cucarachas Cuca Trap x 380 ml,Repelentes e insecticidas,"$ 120,00","$ 120,00","$ 120,00","$ 120,00","$ 120,00"
Insecticida Mata moscas y mosquitos Mosqui Trap x 370 ml,Repelentes e insecticidas,"$ 115,00","$ 115,00","$ 115,00","$ 115,00","$ 115,00"
Jabón de tocador Antibacterial aloe Rexona x 90 gr,Perfumería,"$ 39,00","$ 39,00","$ 39,00","$ 39,00","$ 39,00"
Jabón de tocador Antibacterial aloe x 3 un Rexona x 90 gr,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Jabón de tocador Fresia y Muguet Duc x 110 gr,Perfumería,"$ 23,50","$ 23,50","$ 23,50","$ 23,50","$ 23,50"
Jabón de tocador Lima y madreselva Duc x 110 gr,Perfumería,"$ 23,50","$ 23,50","$ 23,50","$ 23,50","$ 23,50"
Jabón de tocador Multicolor x 3 unid Kenia x 80 gr,Perfumería,"$ 49,50","$ 49,50","$ 49,50","$ 49,50","$ 49,50"
Jabón de tocador Sándalos y Casis Duc x 110 gr,Perfumería,"$ 23,50","$ 23,50","$ 23,50","$ 23,50","$ 23,50"
Jabón de tocador Ylang y Ambar Duc x 110 gr,Perfumería,"$ 23,50","$ 23,50","$ 23,50","$ 23,50","$ 23,50"
Jabón en pan para ropa Gigante x 120 gr,Limpieza,"$ 16,00","$ 16,00","$ 16,00","$ 16,00","$ 16,00"
Jabón en polvo Clásico Zorro x 800 gr,Limpieza,"$ 106,00","$ 106,00","$ 106,00","$ 106,00","$ 106,00"
Jabón en polvo Primer lavado Ala x 3 kg,Limpieza,"$ 369,00","$ 369,00","$ 369,00","$ 369,00","$ 369,00"
Jabón líquido de manos Doypack green tea Algabo x 300 ml,Perfumería,"$ 63,00","$ 63,00","$ 63,00","$ 63,00","$ 63,00"
Jabón líquido para ropa Baja espuma doypack Ala x 1400 ml,Limpieza,"$ 205,00","$ 205,00","$ 205,00","$ 205,00","$ 205,00"
Jabón líquido para ropa Baja espuma doypack Ecovita x 1500 ml,Limpieza,"$ 158,00","$ 158,00","$ 158,00","$ 158,00","$ 158,00"
Jabón líquido para ropa Doypack Ace x 1400 ml,Limpieza,"$ 204,00","$ 204,00","$ 204,00","$ 204,00","$ 204,00"
Jabón líquido para ropa Doypack Netic x 3 lt,Limpieza,"$ 295,00","$ 295,00","$ 295,00","$ 295,00","$ 295,00"
Jabón líquido para ropa Doypack Netic x 800 ml,Limpieza,"$ 90,00","$ 90,00","$ 90,00","$ 90,00","$ 90,00"
Jugo de limón Menoyo x 250 cc,Almacén,"$ 72,00","$ 72,00","$ 72,00","$ 72,00","$ 72,00"
Jugo en polvo Naranja Dulce Arcor x 20 gr,Almacén,"$ 11,00","$ 11,00","$ 11,00","$ 11,00","$ 11,00"
Jugo en Polvo Naranja Verao x 10 gr,Almacén,"$ 6,00","$ 6,00","$ 6,00","$ 6,00","$ 6,00"
Jugo listo Manzana Del Valle x 1 lt,Bebidas,"$ 49,50","$ 51,23","$ 52,22","$ 52,97","$ 53,46"
Jugo listo Multifruta Del Valle x 1 lt,Bebidas,"$ 49,50","$ 51,23","$ 52,22","$ 52,97","$ 53,46"
Jugo listo Naranja Del Valle x 1 lt,Bebidas,"$ 49,50","$ 51,23","$ 52,22","$ 52,97","$ 53,46"
Lavandina Común Odex x 2 lt,Limpieza,"$ 86,00","$ 89,01","$ 90,73","$ 92,02","$ 92,88"
Lavandina Tradicional concentrada Ayudín x 1 lt,Limpieza,"$ 37,50","$ 38,81","$ 39,56","$ 40,13","$ 40,50"
Lavavajilla Limón Ala Ultra x 500 ml,Limpieza,"$ 70,00","$ 70,00","$ 70,00","$ 70,00","$ 70,00"
Lavavajilla Limón Gigante x 545 cc,Limpieza,"$ 80,00","$ 80,00","$ 80,00","$ 80,00","$ 80,00"
Lavavajilla Limón Zorro Ultra x 300 ml,Limpieza,"$ 58,00","$ 58,00","$ 58,00","$ 58,00","$ 58,00"
Leche chocolatada Tregar x 1 lt,Lácteos,"$ 82,00","$ 84,87","$ 86,51","$ 87,74","$ 88,56"
Leche en polvo Descremada 0% Mg Manfrey x 400 gr,Lácteos,0,0,"$ 195,00","$ 197,77",0
