item_name,item_category,item_price_AMBA,item_price_restoPBA,item_price_CCL,item_price_neaNOA,item_price_Patagonia
Postre Chocolate con Dulce de Leche x 2 unidades Sublime x 100 gr,Lácteos,"$ 48,50","$ 50,44","$ 50,44","$ 50,44","$ 50,44"
Postre Chocolate Shimy x 120 gr,Lácteos,"$ 36,00","$ 37,44","$ 37,44","$ 37,44","$ 37,44"
Postre Dulce de Leche con Dulce de Leche x 2 unidades Sublime x 100 gr,Lácteos,"$ 48,50","$ 50,44","$ 50,44","$ 50,44","$ 50,44"
Postre Dulce de Leche Shimy x 120 gr,Lácteos,"$ 36,00","$ 37,44","$ 37,44","$ 37,44","$ 37,44"
Postre Flan vainilla con caramelo x 2 unidades Sublime x 100 gr,Lácteos,"$ 60,00","$ 60,00","$ 60,00","$ 60,00","$ 60,00"
Postre Lácteo Dulce de Leche Manfrey x 120 gr,Lácteos,0,0,"$ 27,00","$ 27,00",0
Postre Lácteo Vainilla Manfrey x 120 gr,Lácteos,0,0,"$ 27,00","$ 27,00",0
Postre Vainilla con Dulce de Leche Shimy x 120 gr,Lácteos,"$ 36,00","$ 37,44","$ 37,44","$ 37,44","$ 37,44"
Postre Vainilla con Dulce de Leche x 2 unidades Sublime x 100 gr,Lácteos,"$ 48,50","$ 50,44","$ 50,44","$ 50,44","$ 50,44"
Postre Vainilla Ravana x 120 gr,Almacén,"$ 23,00","$ 23,00","$ 23,00","$ 23,00","$ 23,00"
Postre Vainilla Shimy x 120 gr,Lácteos,"$ 36,00","$ 37,44","$ 37,44","$ 37,44","$ 37,44"
Premezclas Chipa Lucchetti x 250 gr,Almacén,"$ 135,00","$ 135,00","$ 135,00","$ 135,00","$ 135,00"
Preservativos Ultra finos Tulipán x 6 un,Perfumería,"$ 160,00","$ 160,00","$ 160,00","$ 160,00","$ 160,00"
Protector diario Clásicos con gel absorvente Ladysoft x 20 un,Perfumería,"$ 65,00","$ 65,00","$ 65,00","$ 65,00","$ 65,00"
Protector diario Pocket anatómico c/deo Doncella x 20 un,Perfumería,"$ 50,00","$ 50,00","$ 50,00","$ 50,00","$ 50,00"
Protector diario Pocket anatómico s/deo Doncella x 20 un,Perfumería,"$ 50,00","$ 50,00","$ 50,00","$ 50,00","$ 50,00"
Protector solar Sun Protect & Hydrate 15 FPS Nivea x 200 ml,Perfumería,"$ 415,00","$ 415,00","$ 415,00","$ 415,00","$ 415,00"
Protector solar Sun Protect & Hydrate 30 FPS Nivea x 200 ml,Perfumería,"$ 470,00","$ 470,00","$ 470,00","$ 470,00","$ 470,00"
Puré de papas Morixe x 125 gr,Almacén,"$ 58,00","$ 60,03","$ 61,19","$ 62,06","$ 62,64"
Puré de papas Morixe x 200 gr,Almacén,"$ 93,00","$ 96,26","$ 98,12","$ 99,51","$ 100,44"
Queso cremoso Horma La Paulina x 1 kg,Lácteos,"$ 329,00","$ 340,52","$ 347,10","$ 352,03","$ 355,32"
Queso de máquina comercial Supermercado x 1 kg,Lácteos,"$ 359,00","$ 371,57","$ 378,75","$ 384,13","$ 387,72"
Queso port salut Light horma La Paulina x 1 kg,Lácteos,"$ 370,00","$ 382,95","$ 390,35","$ 395,90","$ 399,60"
Queso rallado Ilolay x 120 gr,Lácteos,"$ 125,00","$ 125,00","$ 125,00","$ 125,00","$ 125,00"
Queso rallado La Paulina x 150 gr,Lácteos,"$ 161,00","$ 161,00","$ 161,00","$ 161,00","$ 161,00"
Queso rallado Reggianito Sancor x 190 gr,Lácteos,"$ 200,00","$ 200,00","$ 200,00","$ 200,00","$ 200,00"
Queso untable Crematto light Milkaut x 290 gr,Lácteos,"$ 110,00","$ 113,85","$ 116,05","$ 117,70","$ 118,80"
Queso untable Crematto Milkaut x 290 gr,Lácteos,"$ 110,00","$ 113,85","$ 116,05","$ 117,70","$ 118,80"
Queso untable Entero San Ignacio x 480 gr,Lácteos,"$ 138,00","$ 142,83","$ 145,59","$ 147,66","$ 149,04"
Queso untable García x 290 gr,Lácteos,"$ 116,00","$ 120,06","$ 122,38","$ 124,12","$ 125,28"
Rebozador Morixe x 1 kg,Almacén,"$ 89,00","$ 92,12","$ 93,90","$ 95,23","$ 96,12"
Rebozador Morixe x 500 gr,Almacén,"$ 54,00","$ 55,89","$ 56,97","$ 57,78","$ 58,32"
Repelente Aerosol Fuyí x 165 ml,Repelentes e insecticidas,"$ 76,50","$ 76,50","$ 76,50","$ 76,50","$ 76,50"
Repelente Crema en pomo Vais x 200 gr,Repelentes e insecticidas,"$ 85,00","$ 85,00","$ 85,00","$ 85,00","$ 85,00"
Repelente Kids Vais x 200 ml,Repelentes e insecticidas,"$ 106,00","$ 106,00","$ 106,00","$ 106,00","$ 106,00"
Repelente Líquido en spray Vais x 200 ml,Repelentes e insecticidas,"$ 91,00","$ 91,00","$ 91,00","$ 91,00","$ 91,00"
Roast beef novillo Supermercado x 1 kg,Carnes y embutidos,"$ 229,00","$ 237,02","$ 241,60","$ 251,90","$ 251,90"
Rollo de cocina 60 paños Elite x 3 un,Limpieza,"$ 99,00","$ 102,47","$ 104,45","$ 105,93","$ 106,92"
Rollo de cocina 60 paños Sweety x 3 un,Limpieza,"$ 91,00","$ 94,19","$ 96,01","$ 97,37","$ 98,28"
Sal fina Dos Anclas x 500 gr,Almacén,"$ 35,00","$ 35,00","$ 35,00","$ 35,00","$ 35,00"
Sal fina Estuche Celusal x 500 gr,Almacén,"$ 43,00","$ 43,00","$ 43,00","$ 43,00","$ 43,00"
Salchichas Fun 190 gr Patyviena x 6 un,Carnes y embutidos,"$ 75,00","$ 77,63","$ 79,13","$ 80,25","$ 81,00"
Salchichas Junior 190 gr Swift x 6 un,Carnes y embutidos,"$ 65,00","$ 67,28","$ 68,58","$ 69,55","$ 70,20"
Servilletas Blanca Elite x 70 un,Limpieza,"$ 52,00","$ 53,82","$ 54,86","$ 55,64","$ 56,16"
Shampoo Balance doypack Polyana x 300 ml,Perfumería,"$ 50,00","$ 50,00","$ 50,00","$ 50,00","$ 50,00"
Shampoo Hidratación Plusbelle x 1 lt,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Shampoo infantil 3 en 1 PH balanceado Suave kids x 200 ml,Perfumería,"$ 105,00","$ 105,00","$ 105,00","$ 105,00","$ 105,00"
Shampoo infantil Cabellos perfumados Johnson & Johnson x 200 ml,Perfumería,"$ 145,00","$ 145,00","$ 145,00","$ 145,00","$ 145,00"
Shampoo infantil Sandía dulce Algabo Kids x 350 ml,Perfumería,"$ 95,00","$ 95,00","$ 95,00","$ 95,00","$ 95,00"
Shampoo Nutrición Sedal x 340 ml,Perfumería,"$ 120,00","$ 120,00","$ 120,00","$ 120,00","$ 120,00"
Shampoo para bebé Extra suave Algabo Baby x 444 ml,Bebés,"$ 110,00","$ 110,00","$ 110,00","$ 110,00","$ 110,00"
Suavizante Felices sueños doypack Vivere x 450 ml,Limpieza,"$ 132,00","$ 132,00","$ 132,00","$ 132,00","$ 132,00"
Suavizante Jardín de geranios Zorro x 900 ml,Limpieza,"$ 80,00","$ 80,00","$ 80,00","$ 80,00","$ 80,00"
Tabletas para mosquitos Repuesto Raid x 24 un,Repelentes e insecticidas,"$ 132,00","$ 132,00","$ 132,00","$ 132,00","$ 132,00"
Tampones Tamaño medio Intima x 16 un,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Tampones Tamaño medio Intima x 8 un,Perfumería,"$ 56,00","$ 56,00","$ 56,00","$ 56,00","$ 56,00"
Tampones Tamaño super Intima x 16 un,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Tampones Tamaño super Intima x 8 un,Perfumería,"$ 56,00","$ 56,00","$ 56,00","$ 56,00","$ 56,00"
Tapa de Asado novillo Supermercado x 1 kg,Carnes y embutidos,"$ 229,00","$ 237,02","$ 241,60","$ 251,90","$ 251,90"
Tapa de tarta Criolla Don Celedonio x 360 gr,Almacén,"$ 54,00","$ 55,89","$ 56,97","$ 57,78","$ 58,32"
Tapa de tarta Pascualina mediana Mendía x 230 gr,Almacén,"$ 41,00","$ 42,44","$ 43,26","$ 43,87","$ 44,28"
Tapas de empanadas Hojaldre Don Celedonio x 15 un,Almacén,"$ 55,00","$ 56,93","$ 58,03","$ 58,85","$ 59,40"
Tapas de empanadas Mendía x 12 un,Almacén,"$ 46,50","$ 48,13","$ 49,06","$ 49,76","$ 50,22"
Tapas de pastel Mendía x 24 un,Almacén,"$ 67,50","$ 69,86","$ 71,21","$ 72,23","$ 72,90"
Toalla Femenina Confort Normales Tela Suave con Alas x 8 unidades Ladysoft x 8 un,Perfumería,"$ 49,00","$ 49,00","$ 49,00","$ 49,00","$ 49,00"
Toalla Femenina Especial Suave con Alas Siempre Libre x 8 un,Perfumería,"$ 67,00","$ 67,00","$ 67,00","$ 67,00","$ 67,00"
Toalla Femenina Pocket normal con alas duopack tela suave sin deo Doncella x 16 un,Perfumería,"$ 58,00","$ 58,00","$ 58,00","$ 58,00","$ 58,00"
Toalla Femenina Pocket ultrafinas tela suave Doncella x 8 un,Perfumería,"$ 41,00","$ 41,00","$ 41,00","$ 41,00","$ 41,00"
Toalla femenina Protección plus suave Always x 16 un,Perfumería,"$ 100,00","$ 100,00","$ 100,00","$ 100,00","$ 100,00"
Toallas húmedas Doypack Sanicare x 100 un,Bebés,"$ 74,00","$ 74,00","$ 74,00","$ 74,00","$ 74,00"
Toallas húmedas FP Sanicare x 100 un,Bebés,"$ 144,00","$ 144,00","$ 144,00","$ 144,00","$ 144,00"
Tostada de arroz con sal Tía Maruca x 120 gr,Almacén,"$ 56,00","$ 57,96","$ 59,08","$ 59,92","$ 60,48"
Tostada de arroz grande Tía Maruca x 160 gr,Almacén,"$ 96,00","$ 99,36","$ 101,28","$ 102,72","$ 103,68"
Tostada de arroz sin sal Tía Maruca x 120 gr,Almacén,"$ 56,00","$ 57,96","$ 59,08","$ 59,92","$ 60,48"
Té común Saquitos La Morenita x 25 un,Almacén,"$ 32,00","$ 33,12","$ 33,76","$ 34,24","$ 34,56"
Té común Saquitos Taraguí x 25 un,Almacén,"$ 39,00","$ 40,37","$ 41,15","$ 41,73","$ 42,12"
Vinagre De alcohol Alcazar x 500 cc,Almacén,"$ 25,00","$ 25,88","$ 26,38","$ 26,75","$ 27,00"
Vinagre De manzana Alcazar x 1000 cc,Almacén,"$ 72,00","$ 74,52","$ 75,96","$ 77,04","$ 77,76"
Vino Blanco Tetrabrick Arizu x 1 lt,Bebidas con alcohol,"$ 55,00","$ 56,93","$ 58,03","$ 58,85","$ 59,40"
Vino Blanco Tetrabrick Crespi x 1 lt,Bebidas con alcohol,"$ 55,00","$ 56,93","$ 58,03","$ 58,85","$ 59,40"
Vino Tinto Clásico Resero x 1125 ml,Bebidas con alcohol,"$ 75,00","$ 77,63","$ 79,13","$ 80,25","$ 81,00"
Vino Tinto Tetrabrick Arizu x 1 lt,Bebidas con alcohol,"$ 55,00","$ 56,93","$ 58,03","$ 58,85","$ 59,40"
Vino Tinto Tetrabrick Crespi x 1 lt,Bebidas con alcohol,"$ 55,00","$ 56,93","$ 58,03","$ 58,85","$ 59,40"
Vino Tinto Tradicional Michel Torino x 1125 ml,Bebidas con alcohol,"$ 94,00","$ 97,29","$ 99,17","$ 100,58","$ 101,52"
Yerba mate Compuesta elaborada con palo Chamigo x 500 gr,Almacén,"$ 89,00","$ 92,12","$ 93,90","$ 95,23","$ 96,12"
Yerba mate Con palo suave Unión x 1 kg,Almacén,"$ 225,00","$ 232,88","$ 237,38","$ 240,75","$ 243,00"
Yerba mate Junior Rosamonte x 1 kg,Almacén,"$ 193,00","$ 199,76","$ 203,62","$ 206,51","$ 208,44"
Yerba mate Junior Rosamonte x 500 gr,Almacén,"$ 100,00","$ 103,50","$ 105,50","$ 107,00","$ 108,00"
Yerba mate Suave compuesta elaborada con palo Nobleza Gaucha x 500 gr,Almacén,"$ 100,00","$ 103,50","$ 105,50","$ 107,00","$ 108,00"
Yerba mate Tradicional Amanda x 500 gr,Almacén,"$ 112,50","$ 116,44","$ 118,69","$ 120,38","$ 121,50"
Yogur batido Entero Frutilla 2 x 120 gr Ilolay x 240 gr,Lácteos,"$ 39,00","$ 40,37","$ 41,15","$ 41,73","$ 42,12"
Yogur batido Entero Vainilla 2 x 120 gr Ilolay x 240 gr,Lácteos,"$ 39,00","$ 40,37","$ 41,15","$ 41,73","$ 42,12"
Yogur Bebible descremado Frutilla Sachet Vida x 900 gr,Lácteos,"$ 77,00","$ 79,70","$ 81,24","$ 82,39","$ 83,16"
Yogur Bebible descremado Frutos del Bosque Sachet Vida x 900 gr,Lácteos,"$ 77,00","$ 77,00","$ 81,24","$ 82,39","$ 83,16"
Yogur Bebible descremado Vainilla Sachet Vida x 900 gr,Lácteos,"$ 77,00","$ 77,00","$ 81,24","$ 82,39","$ 83,16"
Yogur bebible Tetratop Descremado Frutilla Ilolay x 1 kg,Lácteos,"$ 74,50","$ 77,11","$ 78,60","$ 79,72","$ 80,46"
Yogur bebible Tetratop Descremado Vainilla Ilolay x 1 kg,Lácteos,"$ 74,50","$ 77,11","$ 78,60","$ 79,72","$ 80,46"
Yogur bebible Tetratop Entero Durazno Ilolay x 1 kg,Lácteos,"$ 74,50","$ 77,11","$ 78,60","$ 79,72","$ 80,46"
Yogur bebible Tetratop Entero Frutilla Ilolay x 1 kg,Lácteos,"$ 74,50","$ 77,11","$ 78,60","$ 79,72","$ 80,46"
Yogur bebible Tetratop Entero Vainilla Ilolay x 1 kg,Lácteos,"$ 74,50","$ 77,11","$ 78,60","$ 79,72","$ 80,46"
Yogur Cremoso entero Vainilla x 2 unidades Primeros Sabores x 120 gr,Lácteos,"$ 45,00","$ 46,58","$ 47,48","$ 48,15","$ 48,60"
Yogur Firme descremado frutilla pote Vida x 190 gr,Lácteos,"$ 36,00","$ 36,00","$ 36,00","$ 36,00","$ 36,00"
Yogur firme Entero Frutilla 2 x 120 gr Ilolay x 240 gr,Lácteos,"$ 39,00","$ 40,37","$ 41,15","$ 41,73","$ 42,12"
Yogur firme Entero Vainilla 2 x 120 gr Ilolay x 240 gr,Lácteos,"$ 39,00","$ 40,37","$ 41,15","$ 41,73","$ 42,12"
Zapallo anco comercial Supermercado x 1 kg,Frutas y verduras,"$ 46,00","$ 47,61","$ 48,53","$ 49,22","$ 49,68"
